"1","0.000000","1698367943.842013000","fe80::ac52:65ff:fe4b:3687","ff02::2","ICMPv6","70","Router Solicitation from ae:52:65:4b:36:87"
"130","40.648782","1698367984.490795000","172.20.0.2","172.20.0.3","TCP","3576","49112 → 41003 [PSH, ACK] Seq=62646 Ack=1477 Win=64256 Len=3510 TSval=3834335804 TSecr=1346141908"
"131","40.648809","1698367984.490822000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=66156 Win=144384 Len=0 TSval=1346142812 TSecr=3834335804"
"132","40.759891","1698367984.601904000","172.20.0.2","172.20.0.3","TCP","6450","49112 → 41003 [PSH, ACK] Seq=66156 Ack=1477 Win=64256 Len=6384 TSval=3834335916 TSecr=1346142812"
"133","40.759946","1698367984.601959000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=72540 Win=157184 Len=0 TSval=1346142924 TSecr=3834335916"
"134","41.306598","1698367985.148611000","172.20.0.2","172.20.0.3","TCP","74","47666 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834336462 TSecr=0 WS=128"
"135","41.306674","1698367985.148687000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47666 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"136","41.648113","1698367985.490126000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=72540 Ack=1477 Win=64256 Len=7240 TSval=3834336804 TSecr=1346142924"
"137","41.648168","1698367985.490181000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=79780 Win=171648 Len=0 TSval=1346143812 TSecr=3834336804"
"138","41.648176","1698367985.490189000","172.20.0.2","172.20.0.3","TCP","3576","49112 → 41003 [PSH, ACK] Seq=79780 Ack=1477 Win=64256 Len=3510 TSval=3834336804 TSecr=1346142924"
"139","41.648200","1698367985.490213000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=83290 Win=178688 Len=0 TSval=1346143812 TSecr=3834336804"
"140","41.760103","1698367985.602116000","172.20.0.2","172.20.0.3","TCP","6114","49112 → 41003 [PSH, ACK] Seq=83290 Ack=1477 Win=64256 Len=6048 TSval=3834336916 TSecr=1346143812"
"141","41.760150","1698367985.602163000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=89338 Win=185856 Len=0 TSval=1346143924 TSecr=3834336916"
"142","42.524568","1698367986.366581000","172.20.0.2","172.20.0.3","TCP","74","47674 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834337680 TSecr=0 WS=128"
"143","42.524645","1698367986.366658000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47674 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
